QUANTITY,SALES,DATE,PRODUCT,CATEGORY,PRICE,QUALITY,SALES_PERSON,SHOP,CITY,REGION
13,129.87,1/1/2016,Deep Diver,Ocean,9.99,TOP,Abraham Jacobs,Lucky Lures,Seattle,West
13,96.85,1/1/2016,Charles Lake Secret,Lake,7.45,NORMAL,Roberta Gonzalez,Ministry of Lures,New York,North
13,96.85,1/1/2016,Trout Performance,Lake,7.45,NORMAL,Daniel Tailor,Willy's Lure Barn,Austin,South
14,146.86,1/1/2016,Redtail Trout,Ocean,10.49,NORMAL,Tyler Lance,Fast Lures,New York,North
14,86.10,1/1/2016,Steelhead Iron,River,6.15,TOP,Sean Simons,Fast Lures,New York,North
14,146.86,1/1/2016,Redtail Trout,Ocean,10.49,NORMAL,Abraham Jacobs,Lucky Lures,Seattle,West
15,111.75,1/1/2016,Trout Performance,Lake,7.45,NORMAL,Abraham Jacobs,Lucky Lures,Seattle,West
15,92.25,1/1/2016,Steelhead Iron,River,6.15,TOP,Paul Thompson,Atlantic Lures,Miami,South
15,111.75,1/1/2016,Trout Performance,Lake,7.45,NORMAL,Tyler Lance,Fast Lures,New York,North
15,69.75,1/1/2016,Fast Glider,River,4.65,NORMAL,Roberta Gonzalez,Ministry of Lures,New York,North
16,98.40,1/1/2016,Steelhead Iron,River,6.15,TOP,Norbert Fitzpatrick,Fishing King,Miami,South
16,142.24,1/1/2016,Zander Domination,Lake,8.89,TOP,Abraham Jacobs,Lucky Lures,Seattle,West
16,84.00,1/1/2016,Bass Illumination,River,5.25,NORMAL,Tyler Lance,Fast Lures,New York,North
17,89.25,1/1/2016,Bass Illumination,River,5.25,NORMAL,William Lock,Willy's Lure Barn,Austin,South
17,126.65,1/1/2016,Charles Lake Secret,Lake,7.45,NORMAL,Jasmin Muller,Ministry of Lures,New York,North
1,5.25,1/2/2016,Bass Illumination,River,5.25,NORMAL,Henry Jacobs,Anglers United,Los Angeles,West
1,7.45,1/2/2016,Trout Performance,Lake,7.45,NORMAL,Norbert Fitzpatrick,Fishing King,Miami,South
1,8.89,1/2/2016,Zander Domination,Lake,8.89,TOP,Tiffany Smith,Fast Lures,New York,North
2,13.98,1/2/2016,Pike Magic,Lake,6.99,TOP,Henry Jacobs,Anglers United,Los Angeles,West
3,16.95,1/2/2016,Minnow Glitter,River,5.65,TOP,William Lock,Willy's Lure Barn,Austin,South
3,31.47,1/2/2016,Redtail Trout,Ocean,10.49,NORMAL,Abraham Jacobs,Lucky Lures,Seattle,West
3,16.95,1/2/2016,Minnow Glitter,River,5.65,TOP,Arnold Hendricks,Lucky Lures,Seattle,West
3,18.45,1/2/2016,Steelhead Iron,River,6.15,TOP,Sean Simons,Fast Lures,New York,North
4,41.96,1/2/2016,Redtail Trout,Ocean,10.49,NORMAL,William Lock,Willy's Lure Barn,Austin,South
4,27.96,1/2/2016,Pike Magic,Lake,6.99,TOP,Henry Jacobs,Anglers United,Los Angeles,West
4,21.00,1/2/2016,Bass Illumination,River,5.25,NORMAL,Tyler Lance,Fast Lures,New York,North
4,27.96,1/2/2016,Pike Magic,Lake,6.99,TOP,Brian Thompson,Anglers United,Los Angeles,West
5,23.25,1/2/2016,Fast Glider,River,4.65,NORMAL,Abraham Jacobs,Lucky Lures,Seattle,West
5,30.75,1/2/2016,Steelhead Iron,River,6.15,TOP,William Lock,Willy's Lure Barn,Austin,South
5,52.45,1/2/2016,Redtail Trout,Ocean,10.49,NORMAL,Sean Simons,Fast Lures,New York,North
5,23.25,1/2/2016,Fast Glider,River,4.65,NORMAL,Abraham Jacobs,Lucky Lures,Seattle,West
5,26.25,1/2/2016,Bass Illumination,River,5.25,NORMAL,Paul Thompson,Atlantic Lures,Miami,South
6,31.50,1/2/2016,Bass Illumination,River,5.25,NORMAL,Patrick Simpson,Lucky Lures,Seattle,West
6,62.94,1/2/2016,Redtail Trout,Ocean,10.49,NORMAL,Henry Jacobs,Anglers United,Los Angeles,West
6,31.50,1/2/2016,Bass Illumination,River,5.25,NORMAL,Paul Thompson,Atlantic Lures,Miami,South
7,52.15,1/2/2016,Charles Lake Secret,Lake,7.45,NORMAL,Arnold Hendricks,Lucky Lures,Seattle,West
7,62.23,1/2/2016,Zander Domination,Lake,8.89,TOP,Paul Bricks,Fishing King,Miami,South
7,48.93,1/2/2016,Pike Magic,Lake,6.99,TOP,Abraham Jacobs,Lucky Lures,Seattle,West
8,42.00,1/2/2016,Bass Illumination,River,5.25,NORMAL,Jasmin Muller,Ministry of Lures,New York,North
8,59.60,1/2/2016,Trout Performance,Lake,7.45,NORMAL,Brian Thompson,Anglers United,Los Angeles,West
9,50.85,1/2/2016,Minnow Glitter,River,5.65,TOP,Paul Thompson,Atlantic Lures,Miami,South
9,62.91,1/2/2016,Pike Magic,Lake,6.99,TOP,Paul Thompson,Atlantic Lures,Miami,South
9,101.61,1/2/2016,Marlin Goldbar,Ocean,11.29,TOP,Nora Pollack,Happy Fisherman,Chicago,North
9,80.01,1/2/2016,Zander Domination,Lake,8.89,TOP,Brian Thompson,Anglers United,Los Angeles,West
9,67.05,1/2/2016,Charles Lake Secret,Lake,7.45,NORMAL,Timothy Hugs,Silk Watersports,San Francisco,West
10,74.50,1/2/2016,Trout Performance,Lake,7.45,NORMAL,Paul Thompson,Atlantic Lures,Miami,South
10,74.50,1/2/2016,Trout Performance,Lake,7.45,NORMAL,William Lock,Willy's Lure Barn,Austin,South
11,97.79,1/2/2016,Zander Domination,Lake,8.89,TOP,Arnold Hendricks,Lucky Lures,Seattle,West
11,51.15,1/2/2016,Fast Glider,River,4.65,NORMAL,Richard Smith,Lucky Lures,Seattle,West
12,73.80,1/2/2016,Steelhead Iron,River,6.15,TOP,Henry Jacobs,Anglers United,Los Angeles,West
12,67.80,1/2/2016,Minnow Glitter,River,5.65,TOP,Brian Thompson,Anglers United,Los Angeles,West
12,55.80,1/2/2016,Fast Glider,River,4.65,NORMAL,Jasmin Muller,Ministry of Lures,New York,North
12,83.88,1/2/2016,Pike Magic,Lake,6.99,TOP,Brian Thompson,Anglers United,Los Angeles,West
12,89.40,1/2/2016,Trout Performance,Lake,7.45,NORMAL,Sean Simons,Fast Lures,New York,North
12,73.80,1/2/2016,Steelhead Iron,River,6.15,TOP,Abraham Jacobs,Lucky Lures,Seattle,West
12,63.00,1/2/2016,Bass Illumination,River,5.25,NORMAL,Richard Rosenberg,Silk Watersports,San Francisco,West
13,115.57,1/2/2016,Zander Domination,Lake,8.89,TOP,Paul Thompson,Atlantic Lures,Miami,South
13,68.25,1/2/2016,Bass Illumination,River,5.25,NORMAL,John Pittsburger,Happy Fisherman,Chicago,North
13,73.45,1/2/2016,Minnow Glitter,River,5.65,TOP,Norbert Fitzpatrick,Fishing King,Miami,South
13,60.45,1/2/2016,Fast Glider,River,4.65,NORMAL,Henry Jacobs,Anglers United,Los Angeles,West
13,90.87,1/2/2016,Pike Magic,Lake,6.99,TOP,Timothy Hugs,Silk Watersports,San Francisco,West
14,73.50,1/2/2016,Bass Illumination,River,5.25,NORMAL,Brian Thompson,Anglers United,Los Angeles,West
14,86.10,1/2/2016,Steelhead Iron,River,6.15,TOP,Henrik Griffin,Anglers United,Los Angeles,West
14,124.46,1/2/2016,Zander Domination,Lake,8.89,TOP,Tiffany Smith,Fast Lures,New York,North
15,92.25,1/2/2016,Steelhead Iron,River,6.15,TOP,Sean Simons,Fast Lures,New York,North
15,78.75,1/2/2016,Bass Illumination,River,5.25,NORMAL,William Lock,Willy's Lure Barn,Austin,South
15,149.85,1/2/2016,Deep Diver,Ocean,9.99,TOP,Nora Pollack,Happy Fisherman,Chicago,North
15,133.35,1/2/2016,Zander Domination,Lake,8.89,TOP,Tiffany Smith,Fast Lures,New York,North
16,119.20,1/2/2016,Trout Performance,Lake,7.45,NORMAL,Arnold Hendricks,Lucky Lures,Seattle,West
16,142.24,1/2/2016,Zander Domination,Lake,8.89,TOP,Brian Thompson,Anglers United,Los Angeles,West
16,119.20,1/2/2016,Trout Performance,Lake,7.45,NORMAL,Roberta Gonzalez,Ministry of Lures,New York,North
16,180.64,1/2/2016,Marlin Goldbar,Ocean,11.29,TOP,Timothy Hugs,Silk Watersports,San Francisco,West
16,142.24,1/2/2016,Zander Domination,Lake,8.89,TOP,Norbert Fitzpatrick,Fishing King,Miami,South
16,119.20,1/2/2016,Charles Lake Secret,Lake,7.45,NORMAL,Timothy Hugs,Silk Watersports,San Francisco,West
17,151.13,1/2/2016,Zander Domination,Lake,8.89,TOP,Jasmin Muller,Ministry of Lures,New York,North
17,126.65,1/2/2016,Trout Performance,Lake,7.45,NORMAL,Brian Thompson,Anglers United,Los Angeles,West
17,89.25,1/2/2016,Bass Illumination,River,5.25,NORMAL,Roberta Gonzalez,Ministry of Lures,New York,North
1,7.45,1/3/2016,Charles Lake Secret,Lake,7.45,NORMAL,Jasmin Muller,Ministry of Lures,New York,North
1,5.25,1/3/2016,Bass Illumination,River,5.25,NORMAL,Nora Pollack,Happy Fisherman,Chicago,North
1,10.49,1/3/2016,Redtail Trout,Ocean,10.49,NORMAL,Patrick Simpson,Lucky Lures,Seattle,West
2,22.58,1/3/2016,Marlin Goldbar,Ocean,11.29,TOP,Nora Pollack,Happy Fisherman,Chicago,North
2,14.90,1/3/2016,Charles Lake Secret,Lake,7.45,NORMAL,Paul Bricks,Fishing King,Miami,South
4,45.16,1/3/2016,Marlin Goldbar,Ocean,11.29,TOP,Jasmin Muller,Ministry of Lures,New York,North
4,21.00,1/3/2016,Bass Illumination,River,5.25,NORMAL,Jasmin Muller,Ministry of Lures,New York,North
5,58.95,1/3/2016,Blinky Dorado,Ocean,11.79,TOP,Tiffany Smith,Fast Lures,New York,North
5,37.25,1/3/2016,Charles Lake Secret,Lake,7.45,NORMAL,Paul Bricks,Fishing King,Miami,South
6,53.34,1/3/2016,Zander Domination,Lake,8.89,TOP,Paul Thompson,Atlantic Lures,Miami,South
6,31.50,1/3/2016,Bass Illumination,River,5.25,NORMAL,Paul Thompson,Atlantic Lures,Miami,South
6,44.70,1/3/2016,Charles Lake Secret,Lake,7.45,NORMAL,Roberta Gonzalez,Ministry of Lures,New York,North
6,33.90,1/3/2016,Minnow Glitter,River,5.65,TOP,Sean Simons,Fast Lures,New York,North
7,82.53,1/3/2016,Blinky Dorado,Ocean,11.79,TOP,Daniel Tailor,Willy's Lure Barn,Austin,South
7,52.15,1/3/2016,Charles Lake Secret,Lake,7.45,NORMAL,Abraham Jacobs,Lucky Lures,Seattle,West
7,39.55,1/3/2016,Minnow Glitter,River,5.65,TOP,Richard Smith,Lucky Lures,Seattle,West
8,45.20,1/3/2016,Minnow Glitter,River,5.65,TOP,Roberta Gonzalez,Ministry of Lures,New York,North
8,59.60,1/3/2016,Charles Lake Secret,Lake,7.45,NORMAL,Abraham Jacobs,Lucky Lures,Seattle,West
8,71.12,1/3/2016,Zander Domination,Lake,8.89,TOP,Henrik Griffin,Anglers United,Los Angeles,West
8,37.20,1/3/2016,Fast Glider,River,4.65,NORMAL,Jasmin Muller,Ministry of Lures,New York,North
8,42.00,1/3/2016,Bass Illumination,River,5.25,NORMAL,Nora Pollack,Happy Fisherman,Chicago,North
9,47.25,1/3/2016,Bass Illumination,River,5.25,NORMAL,Sean Simons,Fast Lures,New York,North
9,50.85,1/3/2016,Minnow Glitter,River,5.65,TOP,Nicolas Butters,Ministry of Lures,New York,North
9,50.85,1/3/2016,Minnow Glitter,River,5.65,TOP,Sean Simons,Fast Lures,New York,North
10,99.90,1/3/2016,Deep Diver,Ocean,9.99,TOP,Tiffany Smith,Fast Lures,New York,North
10,74.50,1/3/2016,Charles Lake Secret,Lake,7.45,NORMAL,Abraham Jacobs,Lucky Lures,Seattle,West
11,115.39,1/3/2016,Redtail Trout,Ocean,10.49,NORMAL,Tiffany Smith,Fast Lures,New York,North
11,81.95,1/3/2016,Charles Lake Secret,Lake,7.45,NORMAL,Paul Thompson,Atlantic Lures,Miami,South
12,73.80,1/3/2016,Steelhead Iron,River,6.15,TOP,Daniel Tailor,Willy's Lure Barn,Austin,South
12,73.80,1/3/2016,Steelhead Iron,River,6.15,TOP,Sean Simons,Fast Lures,New York,North
12,89.40,1/3/2016,Charles Lake Secret,Lake,7.45,NORMAL,Jasmin Muller,Ministry of Lures,New York,North
13,115.57,1/3/2016,Zander Domination,Lake,8.89,TOP,Paul Thompson,Atlantic Lures,Miami,South
13,129.87,1/3/2016,Deep Diver,Ocean,9.99,TOP,Richard Smith,Lucky Lures,Seattle,West
13,73.45,1/3/2016,Minnow Glitter,River,5.65,TOP,Sean Simons,Fast Lures,New York,North
13,115.57,1/3/2016,Zander Domination,Lake,8.89,TOP,Paul Thompson,Atlantic Lures,Miami,South
13,153.27,1/3/2016,Blinky Dorado,Ocean,11.79,TOP,Nicolas Butters,Ministry of Lures,New York,North
13,68.25,1/3/2016,Bass Illumination,River,5.25,NORMAL,Nora Pollack,Happy Fisherman,Chicago,North
14,79.10,1/3/2016,Minnow Glitter,River,5.65,TOP,Tiffany Smith,Fast Lures,New York,North
14,86.10,1/3/2016,Steelhead Iron,River,6.15,TOP,Tiffany Smith,Fast Lures,New York,North
14,86.10,1/3/2016,Steelhead Iron,River,6.15,TOP,William Lock,Willy's Lure Barn,Austin,South
14,65.10,1/3/2016,Fast Glider,River,4.65,NORMAL,Roberta Gonzalez,Ministry of Lures,New York,North
14,86.10,1/3/2016,Steelhead Iron,River,6.15,TOP,Henrik Griffin,Anglers United,Los Angeles,West
14,97.86,1/3/2016,Pike Magic,Lake,6.99,TOP,Abraham Jacobs,Lucky Lures,Seattle,West
15,111.75,1/3/2016,Charles Lake Secret,Lake,7.45,NORMAL,Sean Simons,Fast Lures,New York,North
15,69.75,1/3/2016,Fast Glider,River,4.65,NORMAL,Patrick Simpson,Lucky Lures,Seattle,West
15,78.75,1/3/2016,Bass Illumination,River,5.25,NORMAL,Abraham Jacobs,Lucky Lures,Seattle,West
15,111.75,1/3/2016,Charles Lake Secret,Lake,7.45,NORMAL,Tiffany Smith,Fast Lures,New York,North
16,111.84,1/3/2016,Pike Magic,Lake,6.99,TOP,Patrick Simpson,Lucky Lures,Seattle,West
17,200.43,1/3/2016,Blinky Dorado,Ocean,11.79,TOP,Tiffany Smith,Fast Lures,New York,North
17,104.55,1/3/2016,Steelhead Iron,River,6.15,TOP,Tiffany Smith,Fast Lures,New York,North
17,126.65,1/3/2016,Charles Lake Secret,Lake,7.45,NORMAL,Richard Rosenberg,Silk Watersports,San Francisco,West
1,7.45,1/4/2016,Trout Performance,Lake,7.45,NORMAL,Sean Simons,Fast Lures,New York,North
1,7.45,1/4/2016,Trout Performance,Lake,7.45,NORMAL,Richard Rosenberg,Silk Watersports,San Francisco,West
1,7.45,1/4/2016,Trout Performance,Lake,7.45,NORMAL,Norbert Fitzpatrick,Fishing King,Miami,South
1,7.45,1/4/2016,Charles Lake Secret,Lake,7.45,NORMAL,Henry Jacobs,Anglers United,Los Angeles,West
1,5.25,1/4/2016,Bass Illumination,River,5.25,NORMAL,Arnold Hendricks,Lucky Lures,Seattle,West
1,4.65,1/4/2016,Fast Glider,River,4.65,NORMAL,Tiffany Smith,Fast Lures,New York,North
2,17.78,1/4/2016,Zander Domination,Lake,8.89,TOP,Richard Rosenberg,Silk Watersports,San Francisco,West
2,14.90,1/4/2016,Trout Performance,Lake,7.45,NORMAL,Henry Jacobs,Anglers United,Los Angeles,West
2,10.50,1/4/2016,Bass Illumination,River,5.25,NORMAL,Jasmin Muller,Ministry of Lures,New York,North
2,23.58,1/4/2016,Blinky Dorado,Ocean,11.79,TOP,Patrick Simpson,Lucky Lures,Seattle,West
3,31.47,1/4/2016,Redtail Trout,Ocean,10.49,NORMAL,Paul Thompson,Atlantic Lures,Miami,South
3,31.47,1/4/2016,Redtail Trout,Ocean,10.49,NORMAL,Abraham Jacobs,Lucky Lures,Seattle,West
3,22.35,1/4/2016,Trout Performance,Lake,7.45,NORMAL,Brian Thompson,Anglers United,Los Angeles,West
4,41.96,1/4/2016,Redtail Trout,Ocean,10.49,NORMAL,Paul Bricks,Fishing King,Miami,South
4,24.60,1/4/2016,Steelhead Iron,River,6.15,TOP,Sean Simons,Fast Lures,New York,North
4,24.60,1/4/2016,Steelhead Iron,River,6.15,TOP,Nora Pollack,Happy Fisherman,Chicago,North
5,49.95,1/4/2016,Deep Diver,Ocean,9.99,TOP,John Pittsburger,Happy Fisherman,Chicago,North
5,44.45,1/4/2016,Zander Domination,Lake,8.89,TOP,Nicolas Butters,Ministry of Lures,New York,North
5,49.95,1/4/2016,Deep Diver,Ocean,9.99,TOP,Norbert Fitzpatrick,Fishing King,Miami,South
6,44.70,1/4/2016,Charles Lake Secret,Lake,7.45,NORMAL,Abraham Jacobs,Lucky Lures,Seattle,West
7,36.75,1/4/2016,Bass Illumination,River,5.25,NORMAL,Roberta Gonzalez,Ministry of Lures,New York,North
8,37.20,1/4/2016,Fast Glider,River,4.65,NORMAL,John Pittsburger,Happy Fisherman,Chicago,North
8,42.00,1/4/2016,Bass Illumination,River,5.25,NORMAL,Sean Simons,Fast Lures,New York,North
9,67.05,1/4/2016,Charles Lake Secret,Lake,7.45,NORMAL,Paul Thompson,Atlantic Lures,Miami,South
9,62.91,1/4/2016,Pike Magic,Lake,6.99,TOP,Norbert Fitzpatrick,Fishing King,Miami,South
10,74.50,1/4/2016,Charles Lake Secret,Lake,7.45,NORMAL,Brian Thompson,Anglers United,Los Angeles,West
10,46.50,1/4/2016,Fast Glider,River,4.65,NORMAL,John Pittsburger,Happy Fisherman,Chicago,North
10,74.50,1/4/2016,Trout Performance,Lake,7.45,NORMAL,Nicolas Butters,Ministry of Lures,New York,North
10,52.50,1/4/2016,Bass Illumination,River,5.25,NORMAL,Roberta Gonzalez,Ministry of Lures,New York,North
10,61.50,1/4/2016,Steelhead Iron,River,6.15,TOP,William Lock,Willy's Lure Barn,Austin,South
10,46.50,1/4/2016,Fast Glider,River,4.65,NORMAL,Arnold Hendricks,Lucky Lures,Seattle,West
11,57.75,1/4/2016,Bass Illumination,River,5.25,NORMAL,Roberta Gonzalez,Ministry of Lures,New York,North
11,81.95,1/4/2016,Trout Performance,Lake,7.45,NORMAL,Daniel Tailor,Willy's Lure Barn,Austin,South
11,97.79,1/4/2016,Zander Domination,Lake,8.89,TOP,Patrick Simpson,Lucky Lures,Seattle,West
12,73.80,1/4/2016,Steelhead Iron,River,6.15,TOP,John Pittsburger,Happy Fisherman,Chicago,North
12,63.00,1/4/2016,Bass Illumination,River,5.25,NORMAL,Henry Jacobs,Anglers United,Los Angeles,West
12,83.88,1/4/2016,Pike Magic,Lake,6.99,TOP,William Lock,Willy's Lure Barn,Austin,South
13,96.85,1/4/2016,Trout Performance,Lake,7.45,NORMAL,Roberta Gonzalez,Ministry of Lures,New York,North
13,68.25,1/4/2016,Bass Illumination,River,5.25,NORMAL,Roberta Gonzalez,Ministry of Lures,New York,North
13,60.45,1/4/2016,Fast Glider,River,4.65,NORMAL,Nora Pollack,Happy Fisherman,Chicago,North
13,79.95,1/4/2016,Steelhead Iron,River,6.15,TOP,Daniel Tailor,Willy's Lure Barn,Austin,South
14,65.10,1/4/2016,Fast Glider,River,4.65,NORMAL,John Pittsburger,Happy Fisherman,Chicago,North
14,86.10,1/4/2016,Steelhead Iron,River,6.15,TOP,Richard Rosenberg,Silk Watersports,San Francisco,West
14,104.30,1/4/2016,Charles Lake Secret,Lake,7.45,NORMAL,Norbert Fitzpatrick,Fishing King,Miami,South
14,158.06,1/4/2016,Marlin Goldbar,Ocean,11.29,TOP,Nora Pollack,Happy Fisherman,Chicago,North
14,65.10,1/4/2016,Fast Glider,River,4.65,NORMAL,William Lock,Willy's Lure Barn,Austin,South
14,165.06,1/4/2016,Blinky Dorado,Ocean,11.79,TOP,Tyler Lance,Fast Lures,New York,North
15,169.35,1/4/2016,Marlin Goldbar,Ocean,11.29,TOP,Sean Simons,Fast Lures,New York,North
15,69.75,1/4/2016,Fast Glider,River,4.65,NORMAL,John Pittsburger,Happy Fisherman,Chicago,North
15,176.85,1/4/2016,Blinky Dorado,Ocean,11.79,TOP,Sean Simons,Fast Lures,New York,North
15,84.75,1/4/2016,Minnow Glitter,River,5.65,TOP,Brian Thompson,Anglers United,Los Angeles,West
15,111.75,1/4/2016,Trout Performance,Lake,7.45,NORMAL,Paul Thompson,Atlantic Lures,Miami,South
16,90.40,1/4/2016,Minnow Glitter,River,5.65,TOP,Patrick Simpson,Lucky Lures,Seattle,West
16,167.84,1/4/2016,Redtail Trout,Ocean,10.49,NORMAL,Timothy Hugs,Silk Watersports,San Francisco,West
17,104.55,1/4/2016,Steelhead Iron,River,6.15,TOP,John Pittsburger,Happy Fisherman,Chicago,North
17,151.13,1/4/2016,Zander Domination,Lake,8.89,TOP,Tyler Lance,Fast Lures,New York,North
17,89.25,1/4/2016,Bass Illumination,River,5.25,NORMAL,Nora Pollack,Happy Fisherman,Chicago,North
1,9.99,1/5/2016,Deep Diver,Ocean,9.99,TOP,Paul Thompson,Atlantic Lures,Miami,South
2,12.30,1/5/2016,Steelhead Iron,River,6.15,TOP,Henrik Griffin,Anglers United,Los Angeles,West
3,26.67,1/5/2016,Zander Domination,Lake,8.89,TOP,Roberta Gonzalez,Ministry of Lures,New York,North
3,15.75,1/5/2016,Bass Illumination,River,5.25,NORMAL,Nora Pollack,Happy Fisherman,Chicago,North
3,22.35,1/5/2016,Trout Performance,Lake,7.45,NORMAL,Richard Smith,Lucky Lures,Seattle,West
4,29.80,1/5/2016,Trout Performance,Lake,7.45,NORMAL,Arnold Hendricks,Lucky Lures,Seattle,West
5,44.45,1/5/2016,Zander Domination,Lake,8.89,TOP,Patrick Simpson,Lucky Lures,Seattle,West
5,30.75,1/5/2016,Steelhead Iron,River,6.15,TOP,Sean Simons,Fast Lures,New York,North
5,52.45,1/5/2016,Redtail Trout,Ocean,10.49,NORMAL,Nora Pollack,Happy Fisherman,Chicago,North
6,53.34,1/5/2016,Zander Domination,Lake,8.89,TOP,Sean Simons,Fast Lures,New York,North
6,36.90,1/5/2016,Steelhead Iron,River,6.15,TOP,John Pittsburger,Happy Fisherman,Chicago,North
6,62.94,1/5/2016,Redtail Trout,Ocean,10.49,NORMAL,Nora Pollack,Happy Fisherman,Chicago,North
7,52.15,1/5/2016,Charles Lake Secret,Lake,7.45,NORMAL,Patrick Simpson,Lucky Lures,Seattle,West
7,39.55,1/5/2016,Minnow Glitter,River,5.65,TOP,Brian Thompson,Anglers United,Los Angeles,West
7,73.43,1/5/2016,Redtail Trout,Ocean,10.49,NORMAL,William Lock,Willy's Lure Barn,Austin,South
8,59.60,1/5/2016,Trout Performance,Lake,7.45,NORMAL,Paul Bricks,Fishing King,Miami,South
9,41.85,1/5/2016,Fast Glider,River,4.65,NORMAL,Tiffany Smith,Fast Lures,New York,North
9,55.35,1/5/2016,Steelhead Iron,River,6.15,TOP,Norbert Fitzpatrick,Fishing King,Miami,South
10,52.50,1/5/2016,Bass Illumination,River,5.25,NORMAL,Abraham Jacobs,Lucky Lures,Seattle,West
10,56.50,1/5/2016,Minnow Glitter,River,5.65,TOP,William Lock,Willy's Lure Barn,Austin,South
10,99.90,1/5/2016,Deep Diver,Ocean,9.99,TOP,Norbert Fitzpatrick,Fishing King,Miami,South
11,81.95,1/5/2016,Trout Performance,Lake,7.45,NORMAL,Sean Simons,Fast Lures,New York,North
11,76.89,1/5/2016,Pike Magic,Lake,6.99,TOP,Abraham Jacobs,Lucky Lures,Seattle,West
